Mapping_ID,Edge_Key,Endpoint_A,Endpoint_B,A_Zone,B_Zone,Edge_Label,Source_Document,Standard,Requirement_ID,Requirement_Text_Original,Edge_Total_Mapped_Req
E-0036,EVCC|SECC,EVCC,SECC,Z1: EV Domain,Z2: XFC/EVSE Domain,ISO 15118-20,ISO 15118-20,ISO,V2G20-2608,The V2G entity shall keep a random number generated according to,200
E-0037,EVCC|SECC,EVCC,SECC,Z1: EV Domain,Z2: XFC/EVSE Domain,ISO 15118-20,ISO 15118-20,ISO,V2G20-018,"After a link-local IP address is assigned, the EVCC shall start the process for discovering the SECC address as defined in 7.10.1.",200
E-0038,EVCC|SECC,EVCC,SECC,Z1: EV Domain,Z2: XFC/EVSE Domain,ISO 15118-20,ISO 15118-20,ISO,V2G20-1804,"After receiving an SDP response with transport protocol set to TCP and security option set to TLS, the EVCC shall establish the TLS connection to the SECC as described in 7.7.3.",200
E-0039,EVCC|SECC,EVCC,SECC,Z1: EV Domain,Z2: XFC/EVSE Domain,ISO 15118-20,ISO 15118-20,ISO,V2G20-035,"If a V2G entity communicates by PLC, the V2G entity shall comply with ISO 15118-3.",200
E-0040,EVCC|SECC,EVCC,SECC,Z1: EV Domain,Z2: XFC/EVSE Domain,ISO 15118-20,ISO 15118-20,ISO,V2G20-1015,"If a V2G entity communicates by WLAN, the V2G entity shall comply with ISO 15118- 8. Data link layer security for WLAN All wireless communication between the EVSE and the EV is inherently insecure unless specific security protocols are implemented. The reason is that the underlying physical layer protocol does not require authentication between the two parties trying to communicate with each other using WLAN. Additionally, all data sent over the WLAN is in plain text unless specific encryption p",200
E-0041,EVCC|SECC,EVCC,SECC,Z1: EV Domain,Z2: XFC/EVSE Domain,ISO 15118-20,ISO 15118-20,ISO,V2G20-2241,A V2G entity shall implement IEEE 802.1X.,200
E-0042,EVCC|SECC,EVCC,SECC,Z1: EV Domain,Z2: XFC/EVSE Domain,ISO 15118-20,ISO 15118-20,ISO,V2G20-2242,IETF RFC 3748 shall be used as the encapsulation of IEEE 802.1X.,200
E-0043,EVCC|SECC,EVCC,SECC,Z1: EV Domain,Z2: XFC/EVSE Domain,ISO 15118-20,ISO 15118-20,ISO,V2G20-2244,"The V2G entity shall use EAP extension EAP-TLS, as specified by IETF RFC 5216. TLS 1.3 shall be used for EAP-TLS.",200
E-0044,EVCC|SECC,EVCC,SECC,Z1: EV Domain,Z2: XFC/EVSE Domain,ISO 15118-20,ISO 15118-20,ISO,V2G20-2255,"The CSO shall provide an SECC certificate, as defined in Annex B, to the EVCC so that the EVCC can authenticate the CSO’s authentication server.",200
E-0045,EVCC|SECC,EVCC,SECC,Z1: EV Domain,Z2: XFC/EVSE Domain,ISO 15118-20,ISO 15118-20,ISO,V2G20-1244,A V2G entity shall support IPv6 as defined in IETF RFC 8200.,200
E-0046,EVCC|SECC,EVCC,SECC,Z1: EV Domain,Z2: XFC/EVSE Domain,ISO 15118-20,ISO 15118-20,ISO,V2G20-1017,A V2G entity shall fulfil the IPv6 node requirements specified in IETF RFC 8504.,200
E-0047,EVCC|SECC,EVCC,SECC,Z1: EV Domain,Z2: XFC/EVSE Domain,ISO 15118-20,ISO 15118-20,ISO,V2G20-1245,A V2G entity shall not use IPsec as defined by IETF RFC 8200 for the V2G communication.,200
E-0048,EVCC|SECC,EVCC,SECC,Z1: EV Domain,Z2: XFC/EVSE Domain,ISO 15118-20,ISO 15118-20,ISO,V2G20-1241,A V2G entity shall implement path MTU discovery according to IETF RFC 8201.,200
E-0049,EVCC|SECC,EVCC,SECC,Z1: EV Domain,Z2: XFC/EVSE Domain,ISO 15118-20,ISO 15118-20,ISO,V2G20-041,A V2G entity shall support handling of overlapping IP fragments according to IETF RFC 5722.,200
E-0050,EVCC|SECC,EVCC,SECC,Z1: EV Domain,Z2: XFC/EVSE Domain,ISO 15118-20,ISO 15118-20,ISO,V2G20-042,"When sending an IPv6 packet from EVCC to SECC or from SECC to EVCC, no IP fragmentation shall be used. It is recommended to use TCP segmentation to transmit a V2G message larger than the MTU. The communication between EVCC and secondary actors as well as SECC and secondary actors is not in the scope of this document and may or may not use IP fragmentation.",200
E-0051,EVCC|SECC,EVCC,SECC,Z1: EV Domain,Z2: XFC/EVSE Domain,ISO 15118-20,ISO 15118-20,ISO,V2G20-1518,"When sending an IPv6 packet containing energy transfer related communication from EVCC to SECC or from SECC to EVCC, the Traffic Class field in the IPv6 header shall be set to a value between 192 and 255.",200
E-0052,EVCC|SECC,EVCC,SECC,Z1: EV Domain,Z2: XFC/EVSE Domain,ISO 15118-20,ISO 15118-20,ISO,V2G20-1519,"When sending an IPv6 packet containing non-energy transfer related value added service communication from EVCC to SECC or from SECC to EVCC, the Traffic Class field in the IPv6 header shall be set to a value between 0 and 127. Dynamic host control protocol (DHCPV6) Data link requirements are described in ISO 15118-3 and ISO 15118-8. The EVCC starts the address assignment triggered by the Data-Link when a Data-Link connection is established. This is done according to 7.6.3.2 using SLAAC (Stateles",200
E-0053,EVCC|SECC,EVCC,SECC,Z1: EV Domain,Z2: XFC/EVSE Domain,ISO 15118-20,ISO 15118-20,ISO,V2G20-047,Each V2G entity shall implement ICMPv6 as specified in IETF RFC 4443.,200
E-0054,EVCC|SECC,EVCC,SECC,Z1: EV Domain,Z2: XFC/EVSE Domain,ISO 15118-20,ISO 15118-20,ISO,V2G20-049,"Each V2G entity shall implement the RFCs referred to in column ""Reference"" of",200
E-0055,EVCC|SECC,EVCC,SECC,Z1: EV Domain,Z2: XFC/EVSE Domain,ISO 15118-20,ISO 15118-20,ISO,V2G20-050,Each V2G entity shall support the configuration of a link-local IPv6 unicast address as specified in IETF RFC 4291.,200
E-0056,EVCC|SECC,EVCC,SECC,Z1: EV Domain,Z2: XFC/EVSE Domain,ISO 15118-20,ISO 15118-20,ISO,V2G20-051,The interface ID of the link-local address of a V2G entity shall be generated from its IEEE 48 bit MAC identifier according to the definition in IETF RFC 4291.,200
E-0057,EVCC|SECC,EVCC,SECC,Z1: EV Domain,Z2: XFC/EVSE Domain,ISO 15118-20,ISO 15118-20,ISO,V2G20-1263,"If multiple IPv6 addresses are supported, the IPv6 default address selection shall be performed according to IETF RFC 6724.",200
E-0058,EVCC|SECC,EVCC,SECC,Z1: EV Domain,Z2: XFC/EVSE Domain,ISO 15118-20,ISO 15118-20,ISO,V2G20-055,Each V2G entity shall implement TCP as specified in IETF RFC 793.,200
E-0059,EVCC|SECC,EVCC,SECC,Z1: EV Domain,Z2: XFC/EVSE Domain,ISO 15118-20,ISO 15118-20,ISO,V2G20-057,Each V2G entity should implement TCP congestion control according to IETF RFC 5681.,200
E-0060,EVCC|SECC,EVCC,SECC,Z1: EV Domain,Z2: XFC/EVSE Domain,ISO 15118-20,ISO 15118-20,ISO,V2G20-059,Each V2G entity should compute TCP's retransmission timer according to IETF RFC 6298.,200
E-0061,EVCC|SECC,EVCC,SECC,Z1: EV Domain,Z2: XFC/EVSE Domain,ISO 15118-20,ISO 15118-20,ISO,V2G20-2134,"Whenever a TCP retransmission timeout (RTO) is computed in a V2G entity, the RTO shall be lower than 400 ms.",200
E-0062,EVCC|SECC,EVCC,SECC,Z1: EV Domain,Z2: XFC/EVSE Domain,ISO 15118-20,ISO 15118-20,ISO,V2G20-2135,"Whenever a TCP retransmission timeout (RTO) is computed in a V2G entity, the RTO should be in the range of 50 ms (lower bound) and 110 ms (upper bound).",200
E-0063,EVCC|SECC,EVCC,SECC,Z1: EV Domain,Z2: XFC/EVSE Domain,ISO 15118-20,ISO 15118-20,ISO,V2G20-060,To increase TCP’s performance each V2G entity should implement TCP extensions for high performance according to IETF RFC 7323.,200
E-0064,EVCC|SECC,EVCC,SECC,Z1: EV Domain,Z2: XFC/EVSE Domain,ISO 15118-20,ISO 15118-20,ISO,V2G20-062,Each V2G entity should implement the user timeout option according to IETF RFC 5482.,200
E-0065,EVCC|SECC,EVCC,SECC,Z1: EV Domain,Z2: XFC/EVSE Domain,ISO 15118-20,ISO 15118-20,ISO,V2G20-063,The urgent pointer for TCP should not be used by any V2G entity. It is recommended to use the following checksum algorithm:,200
E-0066,EVCC|SECC,EVCC,SECC,Z1: EV Domain,Z2: XFC/EVSE Domain,ISO 15118-20,ISO 15118-20,ISO,V2G20-064,The checksum fields required in TCP headers should be implemented according to IETF RFC 1624.,200
E-0067,EVCC|SECC,EVCC,SECC,Z1: EV Domain,Z2: XFC/EVSE Domain,ISO 15118-20,ISO 15118-20,ISO,V2G20-2358,"To improve packet loss handling, each V2G entity should implement selective acknowledgment (SACK) and selective repeat retransmission according to IETF RFC 2018. User datagram protocol (UDP)",200
E-0068,EVCC|SECC,EVCC,SECC,Z1: EV Domain,Z2: XFC/EVSE Domain,ISO 15118-20,ISO 15118-20,ISO,V2G20-065,Each V2G entity shall implement user datagram protocol according to IETF RFC 768. Transport layer security (TLS) Overview Security on transport layer is being provided by using TLS. This allows establishment of an authenticated and encrypted channel between the EVCC and the SECC. TLS allows for unilateral or mutual authentication (ensures integrity protection and confidentiality protection). For security in the ISO 15118 series mutual authentication is used (the EVCC authenticates the SECC and t,200
E-0069,EVCC|SECC,EVCC,SECC,Z1: EV Domain,Z2: XFC/EVSE Domain,ISO 15118-20,ISO 15118-20,ISO,V2G20-1264,For the considered use cases mutual authentication with TLS version 1.3 according to IETF RFC 8446 shall be supported by each V2G entity.,200
E-0070,EVCC|SECC,EVCC,SECC,Z1: EV Domain,Z2: XFC/EVSE Domain,ISO 15118-20,ISO 15118-20,ISO,V2G20-1521,TLS versions higher than 1.3 may also be supported.,200
E-0071,EVCC|SECC,EVCC,SECC,Z1: EV Domain,Z2: XFC/EVSE Domain,ISO 15118-20,ISO 15118-20,ISO,V2G20-2359,The EVCC or SECC may support TLS version 1.2 as specified in ISO 15118-2 for backwards compatibility.,200
E-0072,EVCC|SECC,EVCC,SECC,Z1: EV Domain,Z2: XFC/EVSE Domain,ISO 15118-20,ISO 15118-20,ISO,V2G20-2360,Random numbers used during TLS session setup shall follow requirements as specified by 7.3.7 and its subclauses.,200
E-0073,EVCC|SECC,EVCC,SECC,Z1: EV Domain,Z2: XFC/EVSE Domain,ISO 15118-20,ISO 15118-20,ISO,V2G20-2361,Session key(s) generated and used during TLS session shall be protected per the requirements as specified by 7.3.6 and its subclauses. Transport layer security usage,200
E-0074,EVCC|SECC,EVCC,SECC,Z1: EV Domain,Z2: XFC/EVSE Domain,ISO 15118-20,ISO 15118-20,ISO,V2G20-2371,"The EVCC shall not include ""oid_filters"" extension in the ""CertificateRequest"" message it sends to the SECC.",200
E-0075,EVCC|SECC,EVCC,SECC,Z1: EV Domain,Z2: XFC/EVSE Domain,ISO 15118-20,ISO 15118-20,ISO,V2G20-1007,"A public SECC shall send in the ""ServerHello"" message its own certificate chain (SECC certificate chain) including any necessary cross-certificates up to a root (excluding the root certificate itself), which shall be one of those roots previously indicated by the EVCC as being present in the EVCC.",200
E-0076,EVCC|SECC,EVCC,SECC,Z1: EV Domain,Z2: XFC/EVSE Domain,ISO 15118-20,ISO 15118-20,ISO,V2G20-2378,"If the EVCC did not provide any indication of the available roots (i.e. the ""authorities"" element of ""certificate_authorities"" extension in the ""ClientHello"" message is empty), a public SECC shall send in the ""ServerHello"" message its own certificate chain (SECC certificate chain) including any necessary cross certificates up to a root (excluding the root certificate itself) of its own choosing.",200
E-0077,EVCC|SECC,EVCC,SECC,Z1: EV Domain,Z2: XFC/EVSE Domain,ISO 15118-20,ISO 15118-20,ISO,V2G20-2379,"If the EVCC provides a list of the available roots (i.e. the ""authorities"" element of ""certificate_authorities"" extension in the ""ClientHello"" message is not empty), the public SECC shall follow IETF RFC 5280:2008, 7.1, as updated by IETF RFC 6818, IETF RFC 8398 and IETF RFC 8399, to utilize the received ""DistinguishedNames"" (see",200
E-0078,EVCC|SECC,EVCC,SECC,Z1: EV Domain,Z2: XFC/EVSE Domain,ISO 15118-20,ISO 15118-20,ISO,V2G20-2380,If the EVCC offers and the public SECC chooses a named group and signature algorithm based on curves as defined by,200
E-0079,EVCC|SECC,EVCC,SECC,Z1: EV Domain,Z2: XFC/EVSE Domain,ISO 15118-20,ISO 15118-20,ISO,V2G20-2381,If the EVCC offers and the public SECC chooses a named group and signature algorithm based on curves as defined by,200
E-0080,EVCC|SECC,EVCC,SECC,Z1: EV Domain,Z2: XFC/EVSE Domain,ISO 15118-20,ISO 15118-20,ISO,V2G20-2382,"A private SECC not in CPM4PE shall send the ""ServerHello"" message containing its own certificate chain (PE certificate chain) including any necessary cross-certificates up to a root (excluding the root certificate itself), which shall be one of those roots previously indicated by the EVCC as being present in the EVCC. Refer to H.2.2.3 for details of CPM4PE.",200
E-0081,EVCC|SECC,EVCC,SECC,Z1: EV Domain,Z2: XFC/EVSE Domain,ISO 15118-20,ISO 15118-20,ISO,V2G20-2383,"If the EVCC provides a list of the available roots (i.e. the ""authorities"" element of ""certificate_authorities"" extension in the ""ClientHello"" message is not empty), the private SECC shall follow IETF RFC 5280:2008, 7.1 as updated by IETF RFC 6818, IETF RFC 8398 and IETF RFC 8399, to utilize the received ""DistinguishedNames"" (see",200
E-0082,EVCC|SECC,EVCC,SECC,Z1: EV Domain,Z2: XFC/EVSE Domain,ISO 15118-20,ISO 15118-20,ISO,V2G20-2386,If the EVCC offers and private SECC chooses a named group and signature algorithm based on curves as defined by,200
E-0083,EVCC|SECC,EVCC,SECC,Z1: EV Domain,Z2: XFC/EVSE Domain,ISO 15118-20,ISO 15118-20,ISO,V2G20-2387,If the EVCC offers and private SECC chooses a named group and signature algorithm based on curves as defined by,200
E-0084,EVCC|SECC,EVCC,SECC,Z1: EV Domain,Z2: XFC/EVSE Domain,ISO 15118-20,ISO 15118-20,ISO,V2G20-2388,"Since the EVCC used the ""status_request"" extension to request OCSP response for the certificate chain sent by the public SECC, it shall include an OCSP response for each certificate in the certificate chain sent by the public SECC in the ""ServerHello"" message. Refer to IETF RFC 6960 (as updated by IETF RFC 8954) and IETF RFC 8446 for further details.",200
E-0085,EVCC|SECC,EVCC,SECC,Z1: EV Domain,Z2: XFC/EVSE Domain,ISO 15118-20,ISO 15118-20,ISO,V2G20-2389,If the EVCC offers and the public SECC chooses a named group and signature algorithm based on curves as defined by,200
E-0086,EVCC|SECC,EVCC,SECC,Z1: EV Domain,Z2: XFC/EVSE Domain,ISO 15118-20,ISO 15118-20,ISO,V2G20-2390,If the EVCC offers and the public SECC chooses a named group and signature algorithm based on curves as defined by,200
E-0087,EVCC|SECC,EVCC,SECC,Z1: EV Domain,Z2: XFC/EVSE Domain,ISO 15118-20,ISO 15118-20,ISO,V2G20-2391,"Since the EVCC used the ""status_request"" extension to request OCSP response for the certificate chain sent by private SECC, if the private SECC supports PnC, it shall include an OCSP response for each certificate in the certificate chain sent by the private SECC in the ""ServerHello"" message. Refer to IETF RFC 6960 (as updated by IETF RFC 8954) and IETF RFC 8446 for further adetails.",200
E-0088,EVCC|SECC,EVCC,SECC,Z1: EV Domain,Z2: XFC/EVSE Domain,ISO 15118-20,ISO 15118-20,ISO,V2G20-2392,If the EVCC offers and the private SECC chooses a named group and signature algorithm based on curves as defined by,200
E-0089,EVCC|SECC,EVCC,SECC,Z1: EV Domain,Z2: XFC/EVSE Domain,ISO 15118-20,ISO 15118-20,ISO,V2G20-2393,If the EVCC offers and the private SECC chooses a named group and signature algorithm based on curves as defined by,200
E-0090,EVCC|SECC,EVCC,SECC,Z1: EV Domain,Z2: XFC/EVSE Domain,ISO 15118-20,ISO 15118-20,ISO,V2G20-2394,"Each of the OCSP responses provided by the public SECC in the ""ServerHello"" message shall be signed by a certificate derived from one of the V2G root CA certificates supported by the EVCC (EVCC provided a list of the V2G certificates via",200
E-0091,EVCC|SECC,EVCC,SECC,Z1: EV Domain,Z2: XFC/EVSE Domain,ISO 15118-20,ISO 15118-20,ISO,V2G20-2395,"Each of the OCSP responses provided by the private SECC in the ""ServerHello"" message shall be signed by a certificate derived from one of the PE private root CA certificates supported by the EVCC (EVCC provided a list of the V2G certificates via",200
E-0092,EVCC|SECC,EVCC,SECC,Z1: EV Domain,Z2: XFC/EVSE Domain,ISO 15118-20,ISO 15118-20,ISO,V2G20-2398,"A private SECC not supporting PnC can ignore the ""status_request"" extension, and continue as if the EVCC never sent that request. Refer IETF RFC 8446 for further details.",200
E-0093,EVCC|SECC,EVCC,SECC,Z1: EV Domain,Z2: XFC/EVSE Domain,ISO 15118-20,ISO 15118-20,ISO,V2G20-2399,"If the public SECC cannot provide a certificate with a chain up to one of the roots, which the EVCC signaled as being present in the EVCC, the public SECC shall provide within the TLS handshake a valid certificate including a chain to a root certificate (the root certificate itself shall not be transmitted).",200
E-0094,EVCC|SECC,EVCC,SECC,Z1: EV Domain,Z2: XFC/EVSE Domain,ISO 15118-20,ISO 15118-20,ISO,V2G20-2400,"The SECC shall request EVCC to send the EVCC’s certificate via ""CertificateRequest"" message.",200
E-0095,EVCC|SECC,EVCC,SECC,Z1: EV Domain,Z2: XFC/EVSE Domain,ISO 15118-20,ISO 15118-20,ISO,V2G20-2401,"A public SECC shall send a list of all V2G root CA certificate(s) and/or OEM root CA certificate(s) it possesses via the ""certificate_authorities"" extension in the ""CertificateRequest"" message it sends to the EVCC.",200
E-0096,EVCC|SECC,EVCC,SECC,Z1: EV Domain,Z2: XFC/EVSE Domain,ISO 15118-20,ISO 15118-20,ISO,V2G20-2402,"A private SECC not in CPM4PE shall send a list of all V2G root CA certificate(s) and/or OEM root CA certificate(s) it possesses via the ""certificate_authorities"" extension in the ""CertificateRequest"" message it sends to the EVCC.",200
E-0097,EVCC|SECC,EVCC,SECC,Z1: EV Domain,Z2: XFC/EVSE Domain,ISO 15118-20,ISO 15118-20,ISO,V2G20-2406,"SECC shall not include ""oid_filters"" extension in the ""CertificateRequest"" message it sends to the EVCC.",200
E-0098,EVCC|SECC,EVCC,SECC,Z1: EV Domain,Z2: XFC/EVSE Domain,ISO 15118-20,ISO 15118-20,ISO,V2G20-2407,"SECC shall not include ""status_request"" extension in the ""CertificateRequest"" message it sends to the EVCC.",200
