Mapping_ID,Zone,Node,Node_Label,Sub-entity,Source_Document,Standard,Requirement_ID,Requirement_Text_Original,Requirement_Domain,Subentity_Mapped_Count,Node_Total_Mapped_Req
N-0023,Z1: EV Domain,EV-Internal,EV Internal,EV-Internal (general recommendation),ENISA Smart Cars / Automotive Cybersecurity Guidelines,ENISA,TM-16,"Ensure software authenticity and integrity before its installation, to ensure that only legitimate software is used.",,25,53
N-0024,Z1: EV Domain,EV-Internal,EV Internal,EV-Internal (general recommendation),ENISA Smart Cars / Automotive Cybersecurity Guidelines,ENISA,TM-17,Implement and document changes in configuration according to a change management policy developed by the organisation based on risk analysis.,,25,53
N-0025,Z1: EV Domain,EV-Internal,EV Internal,EV-Internal (general recommendation),ENISA Smart Cars / Automotive Cybersecurity Guidelines,ENISA,TM-18,"Secure OTA firmware updates to avoid firmware manipulation, disclosure or rollback to vulnerable versions.",,25,53
N-0026,Z1: EV Domain,EV-Internal,EV Internal,EV-Internal (general recommendation),ENISA Smart Cars / Automotive Cybersecurity Guidelines,ENISA,TM-19,Define a secure OTA update process.,,25,53
N-0027,Z1: EV Domain,EV-Internal,EV Internal,EV-Internal (general recommendation),ENISA Smart Cars / Automotive Cybersecurity Guidelines,ENISA,TM-20,Implement secure boot processes that ensure systems integrity and authenticity. A risk-based approach may be used to identify when secure boot is actually needed.,,25,53
N-0028,Z1: EV Domain,EV-Internal,EV Internal,EV-Internal (general recommendation),ENISA Smart Cars / Automotive Cybersecurity Guidelines,ENISA,TM-21,"Ensure that vulnerabilities and limitations of software dependencies, especially open source libraries, are mitigated or addressed in a risk assessment.",,25,53
N-0029,Z1: EV Domain,EV-Internal,EV Internal,EV-Internal (general recommendation),ENISA Smart Cars / Automotive Cybersecurity Guidelines,ENISA,TM-22,Protect mobile applications against reverse engineering (e.g. through code obfuscation techniques) and against tampering of their binary code (e.g. by signing it).,,25,53
N-0030,Z1: EV Domain,EV-Internal,EV Internal,EV-Internal (general recommendation),ENISA Smart Cars / Automotive Cybersecurity Guidelines,ENISA,TM-33,"Apply security controls at back-end servers; covering policies, physical and logical security aspects as well as the security of internal networks and data.",,25,53
N-0031,Z1: EV Domain,EV-Internal,EV Internal,EV-Internal (general recommendation),ENISA Smart Cars / Automotive Cybersecurity Guidelines,ENISA,TM-34,Apply least privileges principle and use individual accounts to access devices and/or systems.,,25,53
N-0032,Z1: EV Domain,EV-Internal,EV Internal,EV-Internal (general recommendation),ENISA Smart Cars / Automotive Cybersecurity Guidelines,ENISA,TM-35,Segregate remote access by developing a set of rules for the control and monitoring of remote communications.,,25,53
N-0033,Z1: EV Domain,EV-Internal,EV Internal,EV-Internal (general recommendation),ENISA Smart Cars / Automotive Cybersecurity Guidelines,ENISA,TM-36,"Allow and encourage the use of strong authentication mechanisms, e.g. Multi-Factor Authentication (MFA), define an account lockout functionality, etc. 4.4.7 Self-Protection and Cyber Resilience",,25,53
N-0034,Z1: EV Domain,EV-Internal,EV Internal,EV-Internal (general recommendation),ENISA Smart Cars / Automotive Cybersecurity Guidelines,ENISA,TM-38,"Apply a hardening approach on the different level (i.e. devices, network, back-end, etc.) to reduce the attack surface. 56 A private cloud refers to a cloud environment that is operated exclusively for a single organization. 57 A hybrid cloud combines both private and public cloud that are bound together for better cost-effectiveness and to provide more flexibility and control.",,25,53
N-0035,Z1: EV Domain,EV-Internal,EV Internal,EV-Internal (general recommendation),ENISA Smart Cars / Automotive Cybersecurity Guidelines,ENISA,TM-39,"Reinforce interfaces robustness, e.g. to cope with buffer overflows or fuzzing.",,25,53
N-0036,Z1: EV Domain,EV-Internal,EV Internal,EV-Internal (general recommendation),ENISA Smart Cars / Automotive Cybersecurity Guidelines,ENISA,TM-40,"Consider strengthening applications isolation at runtime, using trusted software technologies.",,25,53
N-0037,Z1: EV Domain,EV-Internal,EV Internal,EV-Internal (general recommendation),ENISA Smart Cars / Automotive Cybersecurity Guidelines,ENISA,TM-41,"Apply system, sub-domain and network segregation using physical and logical isolation techniques where appropriate (based on risk assessment). 4.4.8 (Semi-) Autonomous Systems Self Protection and Cyber Resilience",,25,53
N-0038,Z1: EV Domain,EV-Internal,EV Internal,EV-Internal (general recommendation),ENISA Smart Cars / Automotive Cybersecurity Guidelines,ENISA,TM-44,"Harden against Adversarial attacks, to prevent AI and ML components from being tricked.",,25,53
N-0039,Z1: EV Domain,EV-Internal,EV Internal,EV-Internal (general recommendation),ENISA Smart Cars / Automotive Cybersecurity Guidelines,ENISA,TM-45,Prevent data falsification or manipulation in regard to AI and ML.,,25,53
N-0040,Z1: EV Domain,EV-Internal,EV Internal,EV-Internal (general recommendation),ENISA Smart Cars / Automotive Cybersecurity Guidelines,ENISA,TM-47,Use of hardware redundancy mechanisms by adding extra hardware components able to carry out the required operations and perform self-driving tasks. 4.4.9 Continuity of Operations,,25,53
N-0041,Z1: EV Domain,EV-Internal,EV Internal,EV-Internal (general recommendation),ENISA Smart Cars / Automotive Cybersecurity Guidelines,ENISA,TM-48,"Ensure that notifications are easy to understand, and help users find a remediation or workaround.",,25,53
N-0042,Z1: EV Domain,EV-Internal,EV Internal,OBD-II,NIST IR 8473,NIST,PT-2,"Removable media may include connections made through EV-specific ports or hardware (e.g., On-Board Diagnostic II (OBD-II), Controller Area Network (CAN), Infotainment).",EV,1,53
N-0043,Z1: EV Domain,EV-Internal,EV Internal,Sensors,NIST IR 8473,NIST,AE-3,"Important EV-specific data collected may include Battery Management System (BMS) sensor data readings, communications with the external systems, information generated by or related to safety-critical systems, etc.",EV,4,53
N-0044,Z1: EV Domain,EV-Internal,EV Internal,Sensors,NIST IR 8473,NIST,CM-1,"Network monitoring may include internally communicated traffic within the EV and traffic with external systems, including EVSE and Cloud/Third-Party systems. The network may include the vehicle’s central gateway module, sensors, control units, communication modules, telematics units, and battery management systems. Data exchange between external systems may include information on vehicle performance, battery performance, charging history, vehicle owners, communications with charging stations, grid systems, and external servers.",EV,4,53
N-0045,Z1: EV Domain,EV-Internal,EV Internal,Sensors,ENISA Smart Cars / Automotive Cybersecurity Guidelines,ENISA,TM-43,Protect critical autonomous sensors to prevent the different attacks aiming to alter smart cars environment perception.,,4,53
N-0046,Z1: EV Domain,EV-Internal,EV Internal,Sensors,ENISA Smart Cars / Automotive Cybersecurity Guidelines,ENISA,TM-46,Use of data redundancy mechanisms (e.g. sensor data fusion) that correlate data acquired from the different sensors in the vehicle and data obtained via V2X communications before making a decision.,,4,53
N-0047,Z1: EV Domain,EV-Internal,EV Internal,Telematics Unit,NIST IR 8473,NIST,CM-1,"Network monitoring may include internally communicated traffic within the EV and traffic with external systems, including EVSE and Cloud/Third-Party systems. The network may include the vehicle’s central gateway module, sensors, control units, communication modules, telematics units, and battery management systems. Data exchange between external systems may include information on vehicle performance, battery performance, charging history, vehicle owners, communications with charging stations, grid systems, and external servers.",EV,3,53
N-0048,Z1: EV Domain,EV-Internal,EV Internal,Telematics Unit,NIST IR 8473,NIST,CM-2,"Critical hardware components may include the head unit system, on-board-diagnostic interfaces, telematic control units, central gateway modules, battery management systems, electronic control units, and communication controllers. This may include logging, alarming or monitoring CAN access ports, physical access ports, and connections.",EV,3,53
N-0049,Z1: EV Domain,EV-Internal,EV Internal,Telematics Unit,NIST IR 8473,NIST,CM-8,"Vulnerability scans may include the telematics units, infotainment and navigation systems, remote keyless entry systems, diagnostic ports, and charging systems.",EV,3,53
N-0050,Z1: EV Domain,EV-Internal,EV Internal,ECU,NIST IR 8473,NIST,CM-2,"Critical hardware components may include the head unit system, on-board-diagnostic interfaces, telematic control units, central gateway modules, battery management systems, electronic control units, and communication controllers. This may include logging, alarming or monitoring CAN access ports, physical access ports, and connections.",EV,1,53
N-0051,Z1: EV Domain,EV-Internal,EV Internal,GNSS/GPS,ENISA Smart Cars / Automotive Cybersecurity Guidelines,ENISA,TM-37,"Implement differential monitoring on the GNSS system, to ensure accurate localisation data.",,2,53
N-0052,Z1: EV Domain,EV-Internal,EV Internal,GNSS/GPS,ENISA Smart Cars / Automotive Cybersecurity Guidelines,ENISA,TM-42,"Consider using inboard Inertial Navigation System (INS) or existing dead-reckoning methods to get localisation data, even in case of GNSS failure.",,2,53
N-0053,Z1: EV Domain,EV-Internal,EV Internal,Cellular Modem,ENISA Smart Cars / Automotive Cybersecurity Guidelines,ENISA,TM-43,Protect critical autonomous sensors to prevent the different attacks aiming to alter smart cars environment perception.,,1,53
N-0054,Z1: EV Domain,EVCC,EVCC,EVCC (general),NIST IR 8473,NIST,AM-4,"This may include cataloging EVSE connections to EV, processes used to verify EV identity and accounts, and charge profile information (current, capacity, battery health, etc.) communication. EV connections to cloud-based systems, including account, profile, and location information, should consider also being included.",EV,200,342
N-0055,Z1: EV Domain,EVCC,EVCC,EVCC (general),NIST IR 8473,NIST,BE-4,"Interdependencies may include finding available charging stations, making reservations, billing the transaction, and connecting to/communicating with the charging station. EVs that do not communicate correctly with the EV charger and/or cloud could incorrectly pay for services, leak personal identifiable information (PII), or cause harm to the EV, EVSE, utility/building infrastructure, or user/owner. RQ-15-01, RQ-15-02",EV,200,342
N-0056,Z1: EV Domain,EVCC,EVCC,EVCC (general),NIST IR 8473,NIST,RA-1,"Consider participation in forums such as Auto-ISAC to gain information regarding vulnerabilities. Known asset vulnerabilities may include accessible connector ports, etc. RQ-08-05, WP-09-01",EV,200,342
N-0057,Z1: EV Domain,EVCC,EVCC,EVCC (general),NIST IR 8473,NIST,RA-2,"EV manufactures may consider participation in Automotive-Information Sharing and Analysis (Auto-ISAC) for industry-specific intelligence.ISO/SAE 21434 RQ-08-01, WP-08-01",EV,200,342
N-0058,Z1: EV Domain,EVCC,EVCC,EVCC (general),NIST IR 8473,NIST,AC-3,"This may include (but is not limited to) authorized over the air (OTA) updates, vehicle status/usage information, and customer remote access features.",EV,200,342
N-0059,Z1: EV Domain,EVCC,EVCC,EVCC (general),NIST IR 8473,NIST,AC-6,EV-specific considerations include user accounts accessible from the EV and driver identification.,EV,200,342
N-0060,Z1: EV Domain,EVCC,EVCC,EVCC (general),NIST IR 8473,NIST,AC-7,Transactions and interactions may include remote vehicle access by both user and manufacturer as well as interfaces with EVSE networks.,EV,200,342
N-0061,Z1: EV Domain,EVCC,EVCC,EVCC (general),NIST IR 8473,NIST,DS-4,"This may include availability of the EV infrastructure that manages networks, processing, and storage capacities.",EV,200,342
N-0062,Z1: EV Domain,EVCC,EVCC,EVCC (general),NIST IR 8473,NIST,DS-8,"EV-specific hardware under evaluation may include the battery system, charge controller, propulsion and control systems, electrical wiring, and connectors.",EV,200,342
N-0063,Z1: EV Domain,EVCC,EVCC,EVCC (general),NIST IR 8473,NIST,IP-2,"This may include development systems and assets, original equipment manufacturer (OEM)/owner information assets and recommended/required replacement schedules.",EV,200,342
N-0064,Z1: EV Domain,EVCC,EVCC,EVCC (general),NIST IR 8473,NIST,IP-3,"This may include development systems, OTA updates to customer vehicles, and operational systems.",EV,200,342
N-0065,Z1: EV Domain,EVCC,EVCC,EVCC (general),NIST IR 8473,NIST,IP-5,"This may include assets connected to, or accessible from, EVSE or Utility/Building assets (e.g., BESS, charging ports, system temperature/safety thresholds).",EV,200,342
N-0066,Z1: EV Domain,EVCC,EVCC,EVCC (general),NIST IR 8473,NIST,IP-12,"This may include development systems, OTA updates to customer vehicles, and operational systems.",EV,200,342
N-0067,Z1: EV Domain,EVCC,EVCC,EVCC (general),NIST IR 8473,NIST,CM-7,"This may include steps of the equipment lifecycle, from manufacture and assembly to operation and maintenance. Factors for monitoring may include new connections to communication buses, new mobile devices connections, electronics hardware access, and changes in settings.",EV,200,342
N-0068,Z1: EV Domain,EVCC,EVCC,EVCC (general),NIST IR 8473,NIST,AN-2,Impacts to safety critical systems and components should consider being treated as high priority or understood in greater detail.,EV,200,342
N-0069,Z1: EV Domain,EVCC,EVCC,EVCC (general),NIST IR 8473,NIST,AN-5,"Vulnerabilities impacting safety critical systems may be given higher priority or cause increased responses. Responses may include, but are not limited to, testing mitigation effectiveness, component recalls, and priority updates.",EV,200,342
N-0070,Z1: EV Domain,EVCC,EVCC,EVCC (general),NIST IR 8473,NIST,MI-3,"Vulnerabilities impacting safety-critical systems may be given higher priority or cause increased responses. Responses may include, but are not limited to, testing mitigation effectiveness, component recalls, priority updates.",EV,200,342
N-0071,Z1: EV Domain,EVCC,EVCC,EVCC (general),NIST IR 8473,NIST,CO-3,"Applicable, but no EV-specific considerations. [NIST-SP800-53r5]",EV,200,342
N-0072,Z1: EV Domain,EVCC,EVCC,EVCC (general),ISO 15118-20,ISO,V2G20-014,"After the data link layer connection is established (D LINK_READY.indication(DLINKSTATUS=Link established)), the EVCC shall initiate the IP address assignment mechanism as defined in 7.6.3.2 and 7.6.3.3.",,200,342
N-0073,Z1: EV Domain,EVCC,EVCC,EVCC (general),ISO 15118-20,ISO,V2G20-016,The EVCC shall process the IP address assignment mechanism as defined in 7.6.3.2 and 7.6.3.3.,,200,342
N-0074,Z1: EV Domain,EVCC,EVCC,EVCC (general),ISO 15118-20,ISO,V2G20-019,The EVCC shall start the SDP client according to 7.10.1.,,200,342
N-0075,Z1: EV Domain,EVCC,EVCC,EVCC (general),ISO 15118-20,ISO,V2G20-719,"Whenever the EVCC receives the indication for a missing Data-Link (D LINK_READY.indication(DLINKSTATUS=No link)), the EVCC shall continue with",,200,342
N-0076,Z1: EV Domain,EVCC,EVCC,EVCC (general),ISO 15118-20,ISO,V2G20-720,If the EVCC identifies any error it shall indicate a Data-Link error (D LINK_ERROR.request()) and continue with,,200,342
N-0077,Z1: EV Domain,EVCC,EVCC,EVCC (general),ISO 15118-20,ISO,V2G20-2249,"If the EVCC uses WPA3-Enterprise, its STA device shall set protected management frames (PMF) to required. Refer to WPA3 specifications for details.",,200,342
N-0078,Z1: EV Domain,EVCC,EVCC,EVCC (general),ISO 15118-20,ISO,V2G20-2256,The EVCC shall disable user override of server certificate (UOSC). Refer to WPA3 specifications for further details.,,200,342
N-0079,Z1: EV Domain,EVCC,EVCC,EVCC (general),ISO 15118-20,ISO,V2G20-2258,The EVCC shall validate the provided certificate per,,200,342
N-0080,Z1: EV Domain,EVCC,EVCC,EVCC (general),ISO 15118-20,ISO,V2G20-2265,The EVCC shall utilize the cipher suite as specified by Table 6 for EAP-TLS.,,200,342
N-0081,Z1: EV Domain,EVCC,EVCC,EVCC (general),ISO 15118-20,ISO,V2G20-2267,The EVCC shall utilize the (elliptic curve) ECs as specified by Table 7 for EAP-TLS.,,200,342
N-0082,Z1: EV Domain,EVCC,EVCC,EVCC (general),ISO 15118-20,ISO,V2G20-2269,The EVCC shall utilize ECDHE for EAP.,,200,342
N-0083,Z1: EV Domain,EVCC,EVCC,EVCC (general),ISO 15118-20,ISO,V2G20-2271,The EVCC shall utilize the signature algorithm as specified by Table 8 for EAP.,,200,342
N-0084,Z1: EV Domain,EVCC,EVCC,EVCC (general),ISO 15118-20,ISO,V2G20-1242,"If an EVCC chooses to implement a DHCPv6 client, it shall implement it according to IETF RFC 8415.",,200,342
N-0085,Z1: EV Domain,EVCC,EVCC,EVCC (general),ISO 15118-20,ISO,V2G20-1239,"If the infrastructure chooses to implement a DHCPv6 server on an EVSE, it shall implement it according to IETF RFC 8415. Neighbor discovery (ND) The EVCC uses IPv6 SLAAC for generating addresses for its interface. All interfaces have a link-local address. To ensure unique addresses and to support global addresses, the neighbour discovery protocol (NDP) is used.",,200,342
N-0086,Z1: EV Domain,EVCC,EVCC,EVCC (general),ISO 15118-20,ISO,V2G20-045,The EVCC shall implement NDP as defined in IETF RFC 4861.,,200,342
N-0087,Z1: EV Domain,EVCC,EVCC,EVCC (general),ISO 15118-20,ISO,V2G20-046,The EVCC shall comply with IETF RFC 4429 allowing assignment of IP addresses before duplicate address detection is finished.,,200,342
N-0088,Z1: EV Domain,EVCC,EVCC,EVCC (general),ISO 15118-20,ISO,V2G20-052,The EVCC shall support auto configuration of IPv6 addresses as described in IETF RFC 4862.,,200,342
N-0089,Z1: EV Domain,EVCC,EVCC,EVCC (general),ISO 15118-20,ISO,V2G20-2363,The EVCC shall not request any application data until the TLS handshake is complete.,,200,342
N-0090,Z1: EV Domain,EVCC,EVCC,EVCC (general),ISO 15118-20,ISO,V2G20-2609,"The ""nonce"" sent by the EVCC in the ""ClientHello"" message shall have a minimum of 231 bits of entropy. Refer to 7.3.7 for details. Additional details can be found in IETF RFC 8446:2018, Annex C.1.",,200,342
N-0091,Z1: EV Domain,EVCC,EVCC,EVCC (general),ISO 15118-20,ISO,V2G20-2364,"The EVCC shall include the supported_versions extension described in IETF RFC 8446 as an extension in the ""ClientHello"" message.",,200,342
N-0092,Z1: EV Domain,EVCC,EVCC,EVCC (general),ISO 15118-20,ISO,V2G20-2366,"If an EVCC supports CPM4PE, the EV shall provide a methodology for authorized users to securely place the EVCC in CPM4PE. Refer to H.2.2.3 for details of CPM4PE.",,200,342
N-0093,Z1: EV Domain,EVCC,EVCC,EVCC (general),ISO 15118-20,ISO,V2G20-2367,The CPM4PE shall expire on the EVCC at least 120 s after the user activates the mode. Refer to H.2.2.3 for details of CPM4PE.,,200,342
N-0094,Z1: EV Domain,EVCC,EVCC,EVCC (general),ISO 15118-20,ISO,V2G20-2372,"The EVCC shall include the extension ""status_request"" in the ""ClientHello"" message as defined in IETF RFC 8446.",,200,342
N-0095,Z1: EV Domain,EVCC,EVCC,EVCC (general),ISO 15118-20,ISO,V2G20-2384,"If the EVCC did not provide any indication of the available roots (i.e. the EVCC the ""authorities"" element of ""certificate_authorities"" extension in the ""ClientHello""",,200,342
N-0096,Z1: EV Domain,EVCC,EVCC,EVCC (general),ISO 15118-20,ISO,V2G20-2409,"The EVCC shall validate, according to",,200,342
N-0097,Z1: EV Domain,EVCC,EVCC,EVCC (general),ISO 15118-20,ISO,V2G20-1240,"When the EVCC receives the certificate chain in TLS handshake, it validates it per",,200,342
N-0098,Z1: EV Domain,EVCC,EVCC,EVCC (general),ISO 15118-20,ISO,V2G20-2410,"When the EVCC receives the certificate chain in TLS handshake, it validates it per",,200,342
N-0099,Z1: EV Domain,EVCC,EVCC,EVCC (general),ISO 15118-20,ISO,V2G20-2423,"When the EVCC receives a ""CertificateRequest"" message, the EVCC shall check that extension ""status_request"" is not present in the ""CertificateRequest"" message. If extension ""status_request"" is present in the ""CertificateRequest"" message, the EVCC shall disregard this extension and continue with the TLS handshake as if the ""CertificateRequest"" message did not contain those extension(s).",,200,342
N-0100,Z1: EV Domain,EVCC,EVCC,EVCC (general),ISO 15118-20,ISO,V2G20-2424,"In response to a ""CertificateRequest"" message, the EVCC shall send a ""Certificate"" message containing its own certificate chain (vehicle certificate chain) including any necessary cross-certificates up to the corresponding root (excluding the root",,200,342
N-0101,Z1: EV Domain,EVCC,EVCC,EVCC (general),ISO 15118-20,ISO,V2G20-2459,The EVCC shall support all cipher suites defined in Table 6.,,200,342
N-0102,Z1: EV Domain,EVCC,EVCC,EVCC (general),ISO 15118-20,ISO,V2G20-1858,The EVCC shall include the cipher suites in the order as they appear in Table 6.,,200,342
N-0103,Z1: EV Domain,EVCC,EVCC,EVCC (general),ISO 15118-20,ISO,V2G20-1860,"When transmitting the list of supported cipher suites in the ""cipher_suites"" field of the ""ClientHello"" message, the EVCC shall list the cipher suites that the EVCC supports in the order of preference of the EVCC.",,200,342
N-0104,Z1: EV Domain,EVCC,EVCC,EVCC (general),ISO 15118-20,ISO,V2G20-1637,The EVCC shall support all named groups defined in Table 7.,,200,342
N-0105,Z1: EV Domain,EVCC,EVCC,EVCC (general),ISO 15118-20,ISO,V2G20-1638,The EVCC shall include the named groups in the order as they appear in Table 7 or as per the configurable mechanism as defined by,,200,342
N-0106,Z1: EV Domain,EVCC,EVCC,EVCC (general),ISO 15118-20,ISO,V2G20-1639,"When transmitting the list of supported named groups in the ""supported_groups"" extension field of the ""ClientHello"" message, the EVCC shall list the named groups that the EVCC supports in the order of preference of the EVCC.",,200,342
N-0107,Z1: EV Domain,EVCC,EVCC,EVCC (general),ISO 15118-20,ISO,V2G20-1663,"The EVCC shall also include the list of supported named groups in the ""client_shares"" field of the ""KeyShareClientHello"" value of the ""key_share"" extension in the ""ClientHello"" message.",,200,342
N-0108,Z1: EV Domain,EVCC,EVCC,EVCC (general),ISO 15118-20,ISO,V2G20-1664,"The supported named groups included in the ""client_shares"" field of the ""KeyShareClientHello"" value of the ""key_share"" extension in the ""ClientHello"" message shall be in the order of preference of the EVCC.",,200,342
N-0109,Z1: EV Domain,EVCC,EVCC,EVCC (general),ISO 15118-20,ISO,V2G20-1669,The EVCC shall support all signature algorithms defined in Table 8.,,200,342
N-0110,Z1: EV Domain,EVCC,EVCC,EVCC (general),ISO 15118-20,ISO,V2G20-1670,The EVCC shall include the signature algorithms in the order as they appear in Table 8.,,200,342
N-0111,Z1: EV Domain,EVCC,EVCC,EVCC (general),ISO 15118-20,ISO,V2G20-1671,"When transmitting the list of supported signature algorithms in the ""signature_algorithms"" and/or ""signature_algorithms_cert"" extension field(s) of the ""ClientHello"" message (per IETF RFC 8446, extension signature_algorithms_cert is optional), the EVCC shall list the signature algorithms that the EVCC supports in the order of preference of the EVCC.",,200,342
N-0112,Z1: EV Domain,EVCC,EVCC,EVCC (general),ISO 15118-20,ISO,V2G20-1675,The EVCC shall support all pre-shared key exchange modes defined in Table 9.,,200,342
N-0113,Z1: EV Domain,EVCC,EVCC,EVCC (general),ISO 15118-20,ISO,V2G20-1676,The EVCC shall include pre-shared key exchange modes in the order as they appear in Table 9.,,200,342
