Mapping_ID,Category,Source_Document,Standard,Requirement_ID,Requirement_Text_Original
ORG-0016,Organization / Governance Policy,NIST IR 8473,NIST,BE-1,"EV manufacturers’ role in the supply chain may include relationships and interfaces with suppliers, customers, EVSE manufacturers/operators, and cloud/third-party operators. RQ-07-04, WP-07-01"
ORG-0017,Organization / Governance Policy,NIST IR 8473,NIST,BE-1,"EVSE manufacturers’ role in the supply chain may include that of an equipment manufacturer, consumer/holder of data from EV owners, and a developer of tools used for communication within the EV/XFC ecosystem. EVSE owners/operators may consider following a similar path, understanding their position in the supply chain as a user/maintainer of EVSE systems and service provider to EVs. 1:D4E1 ORG 1.6"
ORG-0018,Organization / Governance Policy,NIST IR 8473,NIST,BE-1,"Cloud/Third-Party owners/operators’ role in the supply chain typically includes a service provider and consumer/holder of data from other EV/XFC entities. Additionally, identified dependencies and requirements may be communicated internally and with impacted business partners."
ORG-0019,Organization / Governance Policy,NIST IR 8473,NIST,BE-1,"Utility/building management systems’ role in the supply chain may include a service provider, and consumer/holder of data."
ORG-0020,Organization / Governance Policy,NIST IR 8473,NIST,BE-2,"EV manufacturers should consider educating/informing their customers about their vehicle’s capability to charge from/communicate with various types of infrastructure safely. This may include informing EV owners of which types of charge connectors are compatible with their vehicle, when connector adapters are applicable, what charge station characteristics are required (voltage, current ratings, DC/AC), or more specifically, what EVSE brands/models or third-party apps are compatible with their EV. The EV manufacturer may consider communicating the risks and/or potential consequences of failing to adhere to these recommendations."
ORG-0021,Organization / Governance Policy,NIST IR 8473,NIST,BE-2,Identified dependencies and requirements may be communicated internally and with impacted business partners. EVSE reservation and alternative billing options to cloud/third-party use should consider being defined for use in the event of degradation or an outage. PM-8
ORG-0022,Organization / Governance Policy,NIST IR 8473,NIST,BE-2,Identified dependencies and requirements may be communicated internally and with impacted business partners.
ORG-0023,Organization / Governance Policy,NIST IR 8473,NIST,BE-3,EV manufacturers may consider emphasizing the cybersecurity and operational requirements of partners in the EV/XFC ecosystem in the prioritization process. PM-11
ORG-0024,Organization / Governance Policy,NIST IR 8473,NIST,BE-3,EVSE manufacturers and owners/operators should consider emphasizing the cybersecurity and operational requirements of partners within the EV/XFC ecosystem in the prioritization process. PM-11
ORG-0025,Organization / Governance Policy,NIST IR 8473,NIST,BE-4,"EVSE manufacturers may consider understanding their position in the EV/XFC ecosystem, both as an equipment manufacturer/supplier and provider that others depend upon. EVSE manufacturers may recognize that providing safe and reliable patches as well as support to operators are critical functions. EVSE owners/operators may consider following a similar path, understanding their position in the ecosystem as a service provider with multi-directional dependencies and critical functions. Interdependencies may include receiving utility power to transform for EV, receiving booking requests from the EV via cloud apps, and effective collaboration with third parties to charge EV owners for purchase. 1:D4E1 AVAIL 1.2"
ORG-0026,Organization / Governance Policy,NIST IR 8473,NIST,BE-5,"EV manufacturers may consider the potential severity associated with impacts to EV owners. These requirements could include the ability to respond to a malicious EVSE/Third-Party or to protect the EV in the event of EV manufacturers equipment compromise. The EV manufacturer may consider how EV use may change during an ecosystem disruption and how the EV may recommend behavioral changes to the driver. For example, if a cyber-attack limits EVSE operability, the EV may recommend planning to charge at home."
ORG-0027,Organization / Governance Policy,NIST IR 8473,NIST,BE-5,"EVSE manufacturers can consider providing designs and support to help EV/XFC partners achieve their resiliency targets. These requirements, for example, could include the ability to respond to malicious EV firmware. The EVSE can consider communicating how operations will continue in the event of decreased power availability. This may include changes to reservations, charge time, and pricing. 3.40 S.2.1, S.2.2, S.2.3 1:D4E1 AVAIL 1.1"
ORG-0028,Organization / Governance Policy,NIST IR 8473,NIST,BE-5,"Depending on organizational and operational designs, the utility/building management owners/operators may rely on, as well as provide support to, EV/XFC partners. The utility may consider defining priorities for distribution and planning for decreased service capacity. 1:D4E1 AVAIL 1.1"
ORG-0029,Organization / Governance Policy,NIST IR 8473,NIST,GV-2,"Roles and responsibilities may include those involved in vehicle design, pre/post-sales support, software/firmware lifecycle activities, and supporting nominal vehicle operations such as charging, maintenance, and patching. RQ-07-04, RQ-07-06, WP-07-01 Subcategory | Domain"
ORG-0030,Organization / Governance Policy,NIST IR 8473,NIST,GV-2,"Roles and responsibilities may include those during EVSE installation design, construction, maintenance, updating, and operation. EVSE manufacturers can also consider defining roles to better support the needs of EV/XFC partners and customers, which may follow established OT or IT processes and methods for equipment, remote services, and capabilities. 1:D4E1 ORG 1.3"
ORG-0031,Organization / Governance Policy,NIST IR 8473,NIST,RA-1,"Consider participation in forums such as E-ISAC to gain information regarding vulnerabilities. Known asset vulnerabilities may include poor password protection, outdated control infrastructure software, and poor substation physical security. 1:D4E1 EVENT 1.9 RA-2: Cyber threat intelligence is received from information sharing forums and sources. Ecosystem: EV/XFC ecosystem members should consider maintaining an awareness of cyber threat intelligence sources along with cyber threat reports that relate to organizational assets. Ecosystem members may routinely review threat reports to compare with equipment catalogues and check for applicable vulnerabilities or actionable information."
ORG-0032,Organization / Governance Policy,NIST IR 8473,NIST,RA-2,"Utility/Building Management Systems may consider participation in Electricity Information Sharing and Analysis Center (E-ISAC) for industry-specific intelligence. Organizations within the Energy sector may have limited access to intelligence gained by national means through appropriate channels. 1:D4E1 ORG 1.1 RA-3: Threats, both internal and external, are identified and documented. Ecosystem: Identification can occur from Cyber Threat Intelligence (CTI) sources, cybersecurity assessment/testing activities, or from other sources of information. Organizations can incorporate threat modeling processes to identify and understand existing and future threats specific to their domain. Consider threats such as insider threats, physical threats, cybersecurity threats, etc. Special considerations should consider being made for threats that impact safety, safety-critical systems/components, and financial/transactional systems/components. Threats to critical partners or suppliers may also be considered. Threats may be considered for the organization while in hardware/software design and manufacturing as well as during normal operation and maintenance. Organizations may also consider the threats that can be introduced in legacy equipment or systems."
ORG-0033,Organization / Governance Policy,NIST IR 8473,NIST,RM-1,Risk management processes are likely to include considerations of obligations to and from EV/XFC partners and suppliers WP-05-01
ORG-0034,Organization / Governance Policy,NIST IR 8473,NIST,RM-1,"Risk management processes should potentially include accounting for EV/XFC partners, suppliers, and organizations like North American Electric Reliability Corporation (NERC) and Federal Energy Regulatory Commission (FERC). 1:D4E1 ORG 2.1"
ORG-0035,Organization / Governance Policy,NIST IR 8473,NIST,RM-1,"Risk management processes should potentially include accounting for EV/XFC partners, web vendors, suppliers, and customers."
ORG-0036,Organization / Governance Policy,NIST IR 8473,NIST,RM-1,"Risk management processes should potentially include accounting for EV/XFC partners, customers and organizations like NERC and FERC. 1:D4E1 ORG 2.1 RM-2: Organizational risk tolerance is determined and clearly expressed. Ecosystem: Ecosystem elements may determine the risk tolerance associated with activities within the organization, such as product development, supply chain management, cybersecurity, asset management, business environment, and regulatory governance. Risk tolerance may be communicated through means such as policies, procedures, guidelines, and training programs. Risk tolerance should consider including special considerations for any safety, safety-critical, financial, or regulatory aspects. Organizations may communicate their risk tolerance to the other domains within the ecosystem. PM-9"
ORG-0037,Organization / Governance Policy,NIST IR 8473,NIST,SC-1,"Critical components may include the head unit system, on-board-diagnostic interface, telematic control units, central gateway modules, battery management systems, electronic control units, and communication controllers. Subcomponents (e.g., microcontrollers, sensors, electrical wiring, connectors.) critical to the function of onboard controllers and management systems should consider being included in the evaluation of cyber supply chain risk. RQ-07-04, WP-07-01"
ORG-0038,Organization / Governance Policy,NIST IR 8473,NIST,SC-1,"Critical components may include the charging station controller, power module controls, protection circuits, power conversion system, supply equipment communication controller, thermal management systems, human-machine interface, and EVSE meter equipment. Subcomponents (e.g., microcontrollers, sensors, electrical wiring, connectors.) critical to the function of onboard controllers and management systems should consider being included in the evaluation of cyber supply chain risk."
ORG-0039,Organization / Governance Policy,NIST IR 8473,NIST,SC-1,"Critical components may include physical data centers, network equipment, servers, storage devices, operating systems, and encryption mechanisms. Subcomponents (e.g., microcontrollers, sensors, electrical wiring, connectors.) critical to the function of onboard controllers and management systems should consider being included in the evaluation of cyber supply chain risk."
ORG-0040,Organization / Governance Policy,NIST IR 8473,NIST,SC-1,"Critical components may include the power distribution units, remote-controlled breakers, local circuit protection, and generation/storage grid systems. Subcomponents (e.g., microcontrollers, sensors, electrical wiring, connectors.) critical to the function of onboard controllers and management systems should consider being included in the evaluation of cyber supply chain risk."
ORG-0041,Organization / Governance Policy,NIST IR 8473,NIST,SC-2,"Some of the equipment used within the XFC/ EVSE is highly specialized with a limited supply chain. Organizations can consider this specialized nature when determining and managing supply chain risk. 2.2, 3"
ORG-0042,Organization / Governance Policy,NIST IR 8473,NIST,AC-4,"EV reviews may include (but are not limited to) internal vehicle systems, remote access, and EVSE interfacing. EV manufacturers may consider defining and limiting what settings EV owners can modify during normal operation and identifying authorized drivers or users."
ORG-0043,Organization / Governance Policy,NIST IR 8473,NIST,AC-4,"The utility/building management system reviews may include access permissions and authorizations from EVSE and cloud/third-party systems, as well as other utility/building management systems and assets like SCADA, system controls, sensors, HMIs, sensors, and servers. 1:D4E1 USER 1.04, USER 1.05, USER 1.07, USER 2.1, USER 2.2 3:2013 SR 2.1 AC-5: Network integrity is protected (e.g., network segregation, network segmentation). Ecosystem: The EV/XFC ecosystem members should consider including integrity protection measures for both IT and OT networks. Network integrity enables secure and available communications as well helping protect any network connected data and systems. Employing consistent network integrity assessments, security training, and incident response plans minimizes the frequency and impact of network security incidents."
ORG-0044,Organization / Governance Policy,NIST IR 8473,NIST,AT-1,"This may include staff at multiple levels, from administrative staff to design and manufacturing staff. EV manufacturers may consider including EV owner cybersecurity information and recommend best practices in the vehicle manual. Information provided in the manual may include the recommended use of multifactor authentication, PIN, and recommended settings."
ORG-0045,Organization / Governance Policy,NIST IR 8473,NIST,AT-1,"This may include staff at multiple levels, from administrative and operations staff to EV/XFC partners and vendors. App developers can consider encouraging positive cyber practices among users of the app, like multifactor identification and strong passwords, as well as incorporating good cyber coding practices and assessments."
ORG-0046,Organization / Governance Policy,NIST IR 8473,NIST,DS-1,"DAR includes any information that is stored onboard electronic management and control systems within the EV. This data may include any information cached or stored on the vehicle, information on vehicle performance, battery performance, charging history, location history, associated accounts, and charging profiles from EV/XFC partners, and suppliers/vendors."
ORG-0047,Organization / Governance Policy,NIST IR 8473,NIST,DS-1,"DAR includes any information that is in equipment, firmware, or software within the EVSE. This data may include information from EV owners, EV/XFC partners, and suppliers/vendors as well as reservations and credentials used to access accounts and databases. 3.40 S.3.4(a) 1:D4E1 CM 1.3, DATA 1.2 3:2013 SR 3.4, SR 4.1"
ORG-0048,Organization / Governance Policy,NIST IR 8473,NIST,DS-1,"DAR includes any information that is stored in databases owned and managed by third parties. This data may include information from EV owners, EV/XFC partners, customers, and cloud and payment processing vendors. Consider protecting information database access from unauthorized access and security breaches."
ORG-0049,Organization / Governance Policy,NIST IR 8473,NIST,DS-1,"DAR includes any information that is stored on utility servers. This data may include load forecasting and account information from EV/XFC partners, utility/building management partners, and suppliers/vendors. 1:D4E1 CM 1.3, DATA 1.2 3:2013 SR 3.4, SR 4.1 Subcategory | Domain DS-2: Data-in-transit (DIT) is protected. Ecosystem: Ecosystem members may consider having increased protections for sensitive, PII, or transactional data. Data-in-transit (DIT) protections may be provided through measures such as: • Securing and tamper-resistant communication systems and protocols for all transmitted data. • Encrypting and authenticating data transmitted over wired or wireless communication channels. • Monitoring and conducting regular security audits of protection mechanisms. • Error detecting/correcting protocols. Which DIT protection measure(s) to implement is determined on a case-by-case basis in a manner that is consistent with the organization’s risk management."
ORG-0050,Organization / Governance Policy,NIST IR 8473,NIST,DS-2,"DIT may include any information that is transmitted over wired or wireless communication channels onboard electronic management and control systems within the EV or data leaving the EV. This data may include information on vehicle performance, battery performance, charging history, location and financial history, and vehicle owners from EV/XFC partners, and suppliers/vendors. Consider additional DIT protections for over-the-air (OTA) updates."
ORG-0051,Organization / Governance Policy,NIST IR 8473,NIST,DS-2,"DIT may include information from EV owners, EV/XFC partners, customers, and cloud and payment processing vendors. Cloud/third-party owners/operators might consider encrypting all traffic."
ORG-0052,Organization / Governance Policy,NIST IR 8473,NIST,DS-2,"DIT may include information from EV/XFC partners, utility/building management partners, and suppliers/vendors. Utility/building management owners/operators may consider encrypting all operational data. 1:D4E1 NET 1.01, NET 1.06, NET 1.08, DATA 1.2, DATA 1.6, USER 1.16 3:2013 SR 3.1, SR 3.8, SR 4.1, SR 4.2 DS-3: Assets are formally managed throughout removal, transfer, and disposition. Ecosystem: Manage assets, which may include hardware, software, information databases, and developmental/operational tools or systems and the data itself. In addition to the day-to-day management activities, formal asset management includes creating, using, and updating asset management activities or strategies."
ORG-0053,Organization / Governance Policy,NIST IR 8473,NIST,DS-3,"Managed data may include information on vehicle performance, battery performance, charging history, location history, and vehicle owners from EV/XFC partners, and suppliers/vendors. Transfer of EV assets should consider including encryption and authentication protocols and should consider only being managed by authorized parties. Consider going through a formal provision process when updating firmware and verifying that updates can only be made by a certified party. Consider including guidelines for data retention, backup, and secure disposal in any procedures."
ORG-0054,Organization / Governance Policy,NIST IR 8473,NIST,DS-3,"Associated data may include information from EV owners, EV/XFC partners, and suppliers/vendors. 1:D4E1 COMP 1.1, USER 1.04, USER 1.05 3:2013 SR 4.2"
ORG-0055,Organization / Governance Policy,NIST IR 8473,NIST,DS-3,"Data may include information from EV owners, EV/XFC partners, customers, and cloud and payment processing vendors. EVSE owners/operators should consider implementing or integrating asset management systems for all EVSE assets in the network."
ORG-0056,Organization / Governance Policy,NIST IR 8473,NIST,DS-3,"Data may include information from EV/XFC partners, utility/building management partners, and suppliers/vendors. 1:D4E1 COMP 1.1, USER 1.04, USER 1.05 3:2013 SR 4.2 Subcategory | Domain DS-4: Adequate capacity to ensure availability is maintained. Ecosystem: Measures to augment capacity may include: • Formal procedures and activities to monitor system performance • Redundant transmission systems • Alternate transmission systems (such as radio frequency (RF), wired or optical systems) Methods such as load balancing address abnormal server loads due to elevated traffic from user activity, incorrect server configurations, or cybersecurity events."
ORG-0057,Organization / Governance Policy,NIST IR 8473,NIST,DS-4,"This may include availability of the XFC/EVSE charging network, supporting processes for charging, and information from EV owners, EV/XFC partners, and suppliers/vendors. 3.40 S.3.4 (c) 3:2013 SR 7.1, SR 7.2"
ORG-0058,Organization / Governance Policy,NIST IR 8473,NIST,DS-4,"This may include information from EV owners, EV/XFC partners, customers, and cloud and payment processing vendors. Cloud and third-party system providers may consider implementing high-availability networks with the required redundancy of gateways, servers, etc."
ORG-0059,Organization / Governance Policy,NIST IR 8473,NIST,DS-4,"This may include information from EV/XFC partners, utility/building management partners, and suppliers/vendors. 3:2013 SR 7.1, SR 7.2 DS-5: Protections against data leaks are implemented. Ecosystem: Ecosystem members may consider initially identifying what is classified as sensitive data, where they are stored, and where there is data transfer between systems, then apply appropriate protective measures, such as cryptography, access control, proper sanitization or disposal of information systems, destruction of data, and other confidentiality protections."
ORG-0060,Organization / Governance Policy,NIST IR 8473,NIST,DS-5,"Data leak protections may apply to information on vehicle performance, battery performance, charging information and history, location and location history, and vehicle owners from EV/XFC partners, and suppliers/vendors. Special consideration may be paid to any communication interfaces internal or external to the EV. This may take the form of a gateway protecting access to any internal vehicle data buses or encrypting information leaving the EV. EV manufacturers may consider establishing formal procedures to manage access to sensitive information."
ORG-0061,Organization / Governance Policy,NIST IR 8473,NIST,DS-5,"Data leak protections may apply to information from EV owners, payment information, EV/XFC partners, and suppliers/vendors. EVSE owners/operators may want to consider how meta data of the EVSE is exposed and limit access to it. 1:D4E1 NET 1.01, NET 1.06, NET 1.08, DATA 1.1, DATA 1.2 3:2013 SR 5.2"
ORG-0062,Organization / Governance Policy,NIST IR 8473,NIST,DS-5,"Data leak protections may apply to information from EV owners, EV/XFC partners, customers, and cloud and payment processing vendors. Special consideration may be paid by cloud/third-party owners/operators on what information may be exposed through application program interfaces (APIs)."
ORG-0063,Organization / Governance Policy,NIST IR 8473,NIST,DS-5,"Data leak protections may apply to information from EV/XFC partners, utility/building management partners, and suppliers/vendors. 1:D4E1 NET 1.01, NET 1.06, NET 1.08, DATA 1.1, DATA 1.2 3:2013 SR 5.2 DS-6: Integrity checking mechanisms are used to verify software, firmware, and information integrity. Ecosystem: Integrity checking mechanisms to verify software, firmware, and information integrity may be considered for use. This may take the form of a secure communication channel standard (e.g., open charge point protocol (OCPP), or other standards), or a more advanced cryptographic mechanisms, such as digital signatures to validate the integrity of the firmware or software."
ORG-0064,Organization / Governance Policy,NIST IR 8473,NIST,DS-6,"EVSE manufacturers may provide means to use integrity checking mechanisms to verify software, firmware, and information integrity, such as including alerting capabilities on compromised software/firmware updates. This may include secure software updates and verification of EV connection integrity and identity. 1.10 G-S.1 (c), (d) 1:D4E1 ORG 2.2, DATA 1.2, USER 1.16 3:2013 SR 3.1, SR 3.3, SR 3.4, SR 3.8"
ORG-0065,Organization / Governance Policy,NIST IR 8473,NIST,IP-2,"This may include development systems and assets and EV/XFC partner information systems. 1:D4E1 ORG 1.1, ORG 2.3 IP-3: Configuration change control processes are in place. Ecosystem: The ecosystem should consider employing configuration change control for the domain and elements that is consistent with the software development life cycle to maintain a functioning baseline. Domains must monitor all changes to validate impacts and integrity and conduct impact analyses prior to deploying a change. Organizations should consider providing a mechanism so changes to the firmware and software can be returned to a proper working state."
ORG-0066,Organization / Governance Policy,NIST IR 8473,NIST,IP-3,"This may include development systems, operational systems, and IT/ICS systems. EVSE manufacturers may consider implementing configuration management mechanisms to prevent unwanted changes that might occur by maintenance errors. 1:D4E1 CM 1.3, CM 1.4 3:2013 SR 7.6 Subcategory | Domain"
ORG-0067,Organization / Governance Policy,NIST IR 8473,NIST,IP-6,"Policies related to account, payment systems and information, transactional, PII, or other sensitive data may be treated as higher priority, including additional policies or mechanisms regarding data destruction, data sanitization, or auditing."
ORG-0068,Organization / Governance Policy,NIST IR 8473,NIST,IP-6,"Policies related to account, payment systems and information, transactional, PII, or other sensitive data may be treated as higher priority, including additional policies or mechanisms regarding data destruction, data sanitization, or auditing. 1:D4E1 DATA 1.6 3:2013 SR 4.2"
ORG-0069,Organization / Governance Policy,NIST IR 8473,NIST,IP-7,Protection processes related to safety critical systems may be considered as higher priority. Manufacturers may consider implementing a database of past events to better track and manage events and corresponding improvement processes.
ORG-0070,Organization / Governance Policy,NIST IR 8473,NIST,IP-7,Protection processes related to safety critical systems may be considered as a higher priority. Owners/operators/manufacturers may consider implementing a database of past events to better track and manage events and corresponding improvement processes. 1:D4E1 ORG 1.1
ORG-0071,Organization / Governance Policy,NIST IR 8473,NIST,IP-8,Manufacturers may consider including standards development and interoperability of systems and components as part of the information sharing process. 1:D4E1 ORG 1.1
ORG-0072,Organization / Governance Policy,NIST IR 8473,NIST,IP-9,"Manufacturers should consider defining clear responsibilities for the vehicle components during response and recovery plans. The components may include hardware, software, networks, operators, and cloud/third-party systems providers."
ORG-0073,Organization / Governance Policy,NIST IR 8473,NIST,IP-9,"Manufacturers/owners should consider defining clear responsibilities for the charging site components during response and recovery plans. The components may include hardware, software, networks, operators, and cloud/third-party systems providers. 3.40 S.2.3 1:D4E1 EVENT 1.8, AVAIL 1.1"
ORG-0074,Organization / Governance Policy,NIST IR 8473,NIST,MA-1,"This may involve verifying physical anti-tamper mechanisms, such as door sensors or tamper-evident seals, to ensure that processes are being followed. EVSE owners/operators/manufacturers may consider logging and auditing remote maintenance sessions. 1:D4E1 AVAIL 1.2"
ORG-0075,Organization / Governance Policy,NIST IR 8473,NIST,PT-4,"Communication and control networks may include information systems for internally communicated traffic, onboard electronic management and control systems, and interfaces with external networks or information systems. Networks may include a vehicle’s central gateway module, sensors, control units, communication modules, telematics units, and battery management systems. External systems may include network traffic with charging stations, grid systems, and external servers. The use of hardware/software gateways should be considered. EV manufacturers may consider the use of mechanisms to segment a vehicle’s internal networks, and authenticate devices on the internal network, as well as communication between internal networks."
ORG-0076,Organization / Governance Policy,NIST IR 8473,NIST,PT-4,"Utility/Building management owners/operators may consider implementing protection mechanisms to communications and network traffic in EVSEs, smart grid systems, and other utility and building management systems. 1:D4E1 CM 1.3, NET 1.01, NET 1.02, NET 1.04, NET 1.05, NET 1.06, NET 1.09, USER 1.16 3:2013 SR 3.1, SR 3.5, SR 3.8, SR 4.1, SR 4.3, SR 5.1, SR 5.2, SR 5.3, SR 7.1, SR 7.6 PT-5: Mechanisms (e.g., failsafe, load balancing, hot swap) are implemented to achieve resilience requirements in normal and adverse situations. Ecosystem: These mechanisms may be implemented to automatically activate upon detecting adverse conditions. Resilience mechanisms may include fault tolerant architectures, resource management strategies and activities, backup/recovery plans, and cyber security protection frameworks."
ORG-0077,Organization / Governance Policy,NIST IR 8473,NIST,CM-1,"Network monitoring may include internally communicated traffic within the EVSE and traffic with external systems, including EV and Cloud/Third-Party systems. The network may include information on transactions, charging and battery-related information/metrics, and sensor readings. EVSE owners/operators may consider including non-standard networks including IoT, IIoT and Mesh networks. EVSE owners/operators may consider collecting data and monitor the telemetry from multiple sources and sensors, which may provide a more complete network status. 1:D4E1 EVENT 1.1 3:2013 SR 6.2"
ORG-0078,Organization / Governance Policy,NIST IR 8473,NIST,CM-1,"Monitoring may include network traffic with EVSEs, smart grid systems, and other utility and building management systems. Utility/Building Management owners/operators can consider including non-standard networks, including IoT, IIoT and Mesh networks. 1:D4E1 EVENT 1.1 3:2013 SR 6.2 Subcategory | Domain CM-2: The physical environment is monitored to detect potential cybersecurity events. Ecosystem: Monitoring may include continuously monitoring critical components, systems, and processes that have been identified as potential cybersecurity risks, are safety-critical, or have safety considerations. Subcomponents (e.g., microcontrollers, sensors, electrical wiring, connectors.) critical to the function of onboard controllers and management systems may be included in the continuous monitoring of the physical environment."
ORG-0079,Organization / Governance Policy,NIST IR 8473,NIST,CM-4,"EV manufacturers can consider providing means to ensure the ability to analyze and detect malicious code affecting software and firmware on EV computer systems that may include vehicle control units, communication modules, charging systems, and battery management systems."
ORG-0080,Organization / Governance Policy,NIST IR 8473,NIST,CM-4,"EVSE manufacturers may consider providing means of ensuring the ability to analyze and detect malicious code affecting software and firmware on EVSE computer systems that may include the communication modules, charge control systems, power distribution modules, and energy management systems. 1:D4E1 COMP 2.2 3:2013 SR 3.2"
ORG-0081,Organization / Governance Policy,NIST IR 8473,NIST,CM-6,"Service provider activity may include remote access attempts and software updates to onboard electronic management and control systems. EV manufacturers may consider monitoring external service interactions with hardware components that may include the telematics units, infotainment and navigation systems, remote keyless entry systems, diagnostic ports, and charging systems."
ORG-0082,Organization / Governance Policy,NIST IR 8473,NIST,RP-1,"Recovery plans may potentially include proliferation of any software, hardware and policy updates, mitigation implementations, or recalls to all affected EV production centers and individual EVs."
ORG-0083,Organization / Governance Policy,NIST IR 8473,NIST,RP-1,"Consider having recovery plans include proliferation of any software, hardware and policy updates, mitigation implementations, or recalls to all affected EVSE production centers and individual EVSE devices."
ORG-0084,Organization / Governance Policy,ENISA Smart Cars / Automotive Cybersecurity Guidelines,ENISA,OP-01,Foster security-related information sharing between the different stakeholders while protecting intellectual property.
ORG-0085,Organization / Governance Policy,ENISA Smart Cars / Automotive Cybersecurity Guidelines,ENISA,OP-02,"Define cybersecurity relevant aspects of the partnerships along the supply chain, and develop security requirements and procurement guidelines for suppliers50. 4.3.2 Training and Awareness"
ORG-0086,Organization / Governance Policy,ENISA Smart Cars / Automotive Cybersecurity Guidelines,ENISA,OP-03,"Share relevant information between all organisations, including subcontractors, suppliers and third parties to enhance smart cars security, by following the examples of existing Information Sharing and Analysis Centers (ISACs) for instance."
ORG-0087,Organization / Governance Policy,ENISA Smart Cars / Automotive Cybersecurity Guidelines,ENISA,OP-04,"Adopt a holistic approach to security training and awareness among the employees, including employees on all levels of the organization, as well as consider expanding it to suppliers."
